attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,image_id,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-1.0736273917925274,4,0,passed,1520632.849376088,1.0707308729275349,-0.323149498701909,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.0736273917925274,0,t2f_mc_s51001_20260921_01,51001,4922.0155627820795
4,passed,-1.3804947737720852,4,0,passed,1540430.623529731,1.0788149087137555,-0.37833652649230487,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.3804947737720852,0,t2f_mc_s51002_20260921_01,51002,4953.974538816611
4,passed,-0.9290603596672895,4,0,passed,1521746.180916409,1.074823696256849,-0.27015094744132284,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.9290603596672895,0,t2f_mc20_20260921_01_s51003,51003,4985.344282361281
4,passed,-1.2198964750054415,4,0,passed,1560666.369424751,1.0906670731895538,-0.3689894996165606,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.2198964750054415,0,t2f_mc20_20260921_01_s51004,51004,5045.990366577534
4,passed,-0.7977625618993045,4,0,passed,1485280.223178206,1.073694674652336,-0.26188967300177524,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.7977625618993045,0,t2f_mc20_20260921_01_s51005,51005,4955.595250903451
4,passed,-0.7910285559847807,4,0,passed,1497178.566990506,1.0606156517785892,-0.24532514473399658,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.7910285559847807,0,t2f_mc20_20260921_01_s51006,51006,4941.966954536162
4,passed,-1.0842857092261085,4,0,passed,1520449.47527388,1.0771754731764926,-0.3130351200602064,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.0842857092261085,0,t2f_mc20_20260921_01_s51007,51007,4954.954507695375
4,passed,-1.3173360749641034,4,0,passed,1552120.346755326,1.0881504188547522,-0.3877736646639818,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.3173360749641034,0,t2f_mc20_20260921_01_s51008,51008,5117.329742935934
4,passed,0.45021814855856235,4,0,passed,1425290.968697225,1.0463950940799944,0.09874960190767013,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.45021814855856235,0,t2f_mc20_20260921_01_s51009,51009,4968.670948042066
4,failed,-2.644540265034024,4,0,passed,1646206.040382669,1.1179761946541593,-0.7666532969795554,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,2.644540265034024,0,t2f_mc20_20260921_01_s51010,51010,5077.39858428084
4,passed,0.07892280402755603,4,0,passed,1443102.439348208,1.0628377974130496,0.013362340025480535,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.07892280402755603,0,t2f_mc20_20260921_01_s51011,51011,4892.611807309681
4,passed,-0.8819334463742621,4,0,passed,1519835.948907675,1.0860328621228568,-0.2423405506990548,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,0.8819334463742621,0,t2f_mc20_20260921_01_s51012,51012,4979.21303193468
4,passed,-1.9247253133353723,4,0,passed,1614905.741484476,1.10415065761241,-0.5578635607560329,sha256:5fd78498e578c6e9ec10828c248ca3790fc88250ff6caf545521b29e448ea3c0,1.9247253133353723,0,t2f_mc20_20260921_01_s51013,51013,5107.248176620814
